reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,20,1,0,0,0
STANDARD,29,11,5,0,0
ACCELERATED,2,4,16,0,0
EMERGENCY,0,2,14,8,0
REVIEW,0,0,0,0,0
