reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,41,4,0,0,0
STANDARD,47,22,14,1,3
ACCELERATED,5,5,29,7,0
EMERGENCY,0,2,19,25,0
REVIEW,0,0,0,0,0
