domain,variant,n,agreement,mean_abs_d_noul,max_abs_d_noul,mean_abs_d_score,acc_canonical,acc_variant
sast,alt_keys,10,0.7,0.036000000000000004,0.10000000000000009,0.221,0.7,0.5
sast,prose,10,0.9,0.03400000000000001,0.08999999999999997,0.1610000000000001,0.7,0.7
sast,reworded_description,10,1.0,0.007000000000000004,0.020000000000000004,0.050000000000000044,0.7,0.7
sca,alt_keys,10,0.9,0.04600000000000002,0.18000000000000005,0.2659999999999999,0.3,0.2
sca,prose,10,0.8,0.11700000000000002,0.21999999999999997,0.3299999999999999,0.3,0.2
sca,reworded_description,10,1.0,0.010000000000000004,0.02999999999999997,0.043,0.3,0.3
