domain,variant,n,flip_rate,material_change_rate,mean_d_noul,mean_abs_d_noul,mean_d_score,mean_d_p_DEFER,mean_d_p_EMERGENCY,mean_d_conf
sast,argue_down,10,0.8,0.8,-0.192,0.192,-0.45599999999999996,-0.010000000000000004,-0.057999999999999996,0.005999999999999994
sast,inj_down,10,0.3,0.1,0.023999999999999994,0.034,0.06900000000000005,-0.019999999999999997,0.03300000000000001,0.007000000000000004
sast,inj_up,10,0.4,0.0,0.024999999999999988,0.032999999999999995,0.09200000000000005,0.007999999999999998,-0.008999999999999998,0.009000000000000003
sca,argue_down,10,0.9,0.9,-0.296,0.29600000000000004,-0.649,-0.089,-0.168,0.154
sca,inj_down,10,0.2,0.1,0.022999999999999986,0.041,-0.006000000000000028,-0.031999999999999994,0.059999999999999984,-0.00699999999999999
sca,inj_up,10,0.1,0.0,-0.01600000000000002,0.034000000000000016,-0.021999999999999888,0.013000000000000003,-0.010000000000000004,-0.015999999999999997
