model,n,valid,p50_ms,p90_ms,max_ms,x_slower_than_jev,in_tok,out_tok,reason_tok,usd_per_decision,usd_per_50k,hours_50k_sequential,disp_acc_n40,urgency_auc_n40
typesafe/jev-1.13,40,40,185.7,332.2200000000001,851.0,1.0,1235.775,99.15,0.0,5.1902549999999997e-05,2.5951275,3.3399305555555556,0.55,0.9348958333333334
openai/gpt-6-sol,40,40,2527.4,3237.0500000000006,4031.5,13.610123855681207,1024.825,112.375,40.825,0.0034051,170.255,35.23909722222222,0.475,0.9244791666666666
anthropic/claude-sonnet-5,40,40,2591.7,3286.5200000000004,4575.2,13.956381260096931,1600.05,110.2,0.0,0.0043021000000000005,215.10500000000002,38.336979166666666,0.775,0.9661458333333334
google/gemini-3.8-flash,40,40,5583.0,8807.390000000001,16714.3,30.064620355411957,1026.05,139.225,37.45,0.00129163125,64.5815625,85.81538194444444,0.55,0.9635416666666666
