reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,7,17,8,13,0
STANDARD,6,12,42,27,0
ACCELERATED,4,16,12,14,0
EMERGENCY,5,9,11,21,0
REVIEW,0,0,0,0,0
