domain,subset,n,jev_acc,b0_acc,b1_acc,jev_auc,jev_score_mae
sca,main,100,0.56,0.28,0.52,0.9583333333333334,0.6461999999999999
sca,contradiction,12,0.5,0.0,0.5833333333333334,1.0,0.4975
sast,main,100,0.52,0.24,0.38,0.9233333333333333,0.5605999999999999
sast,contradiction,12,0.25,0.0,0.3333333333333333,1.0,0.5391666666666667
all,main,200,0.54,0.26,0.45,0.9183854166666666,0.6033999999999999
all,contradiction,24,0.375,0.0,0.4583333333333333,1.0,0.5183333333333332
