reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,7,10,3,1,0
STANDARD,2,5,26,12,0
ACCELERATED,0,0,7,15,0
EMERGENCY,0,0,1,23,0
REVIEW,0,0,0,0,0
