reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,3,10,5,6,0
STANDARD,3,8,22,9,0
ACCELERATED,0,11,6,7,0
EMERGENCY,1,3,7,11,0
REVIEW,0,0,0,0,0
