domain,ref_disp,n,jev_acc,mean_noul,mean_score,modal_jev_choice,jev_choices
sast,ACCELERATED,22,0.7272727272727273,0.5968181818181819,2.663636363636364,ACCELERATED,"{""ACCELERATED"": 16, ""STANDARD"": 4, ""DEFER"": 2}"
sast,DEFER,21,0.9523809523809523,0.1180952380952381,0.5980952380952381,DEFER,"{""DEFER"": 20, ""STANDARD"": 1}"
sast,EMERGENCY,24,0.3333333333333333,0.7029166666666667,3.19375,ACCELERATED,"{""ACCELERATED"": 14, ""EMERGENCY"": 8, ""STANDARD"": 2}"
sast,STANDARD,45,0.24444444444444444,0.33399999999999996,1.5146666666666666,DEFER,"{""DEFER"": 29, ""STANDARD"": 11, ""ACCELERATED"": 5}"
sca,ACCELERATED,24,0.5416666666666666,0.7804166666666666,2.885833333333333,ACCELERATED,"{""ACCELERATED"": 13, ""EMERGENCY"": 7, ""DEFER"": 3, ""STANDARD"": 1}"
sca,DEFER,24,0.875,0.23500000000000001,1.1279166666666667,DEFER,"{""DEFER"": 21, ""STANDARD"": 3}"
sca,EMERGENCY,22,0.7727272727272727,0.8977272727272726,3.4827272727272724,EMERGENCY,"{""EMERGENCY"": 17, ""ACCELERATED"": 5}"
sca,STANDARD,42,0.2619047619047619,0.4830952380952381,1.8785714285714288,DEFER,"{""DEFER"": 18, ""STANDARD"": 11, ""ACCELERATED"": 9, ""REVIEW"": 3, ""EMERGENCY"": 1}"
