reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,4,7,3,7,0
STANDARD,3,4,20,18,0
ACCELERATED,4,5,6,7,0
EMERGENCY,4,6,4,10,0
REVIEW,0,0,0,0,0
