domain,method,n,choice_acc,acc_ci_lo,acc_ci_hi,macro_f1,false_escalation,false_deprioritization,review_on_determinate,urgency_auc,urgency_recall,urgency_precision,score_mae,score_spearman
sca,jev,112,0.5535714285714286,0.4642857142857143,0.6430803571428559,0.4511073451064229,0.17857142857142858,0.24107142857142858,0.026785714285714284,0.9664031620553359,0.9782608695652174,0.6818181818181818,0.630267857142857,0.8686964306909468
sca,b0_severity_only,112,0.25,0.16964285714285715,0.3392857142857143,0.2493161508282476,0.5267857142857143,0.22321428571428573,0.0,,0.6739130434782609,0.4246575342465753,1.4017857142857142,0.19372692033063277
sca,b1_context_points,112,0.5267857142857143,0.4375,0.6160714285714286,0.535724043715847,0.3392857142857143,0.13392857142857142,0.0,,0.9347826086956522,0.6825396825396826,0.6071428571428571,0.850693928485833
sast,jev,112,0.49107142857142855,0.4017857142857143,0.5803571428571429,0.4915413533834586,0.05357142857142857,0.45535714285714285,0.0,0.9290184453227931,0.8695652173913043,0.8,0.5583035714285715,0.8749509064724205
sast,b0_severity_only,112,0.21428571428571427,0.14285714285714285,0.29464285714285715,0.21570933212724258,0.5535714285714286,0.23214285714285715,0.0,,0.5869565217391305,0.36,1.6339285714285714,-0.019356799366185482
sast,b1_context_points,112,0.375,0.29464285714285715,0.4642857142857143,0.37098870056497174,0.5982142857142857,0.026785714285714284,0.0,,1.0,0.5227272727272727,0.9196428571428571,0.8008096829583329
all,jev,224,0.5223214285714286,0.45535714285714285,0.5893973214285708,0.4261635989318984,0.11607142857142858,0.3482142857142857,0.013392857142857142,0.9262187088274044,0.9239130434782609,0.7327586206896551,0.5942857142857143,0.862569089822717
all,b0_severity_only,224,0.23214285714285715,0.17857142857142858,0.2857142857142857,0.23198902503087004,0.5401785714285714,0.22767857142857142,0.0,,0.6304347826086957,0.3918918918918919,1.5178571428571428,0.0804777060442775
all,b1_context_points,224,0.45089285714285715,0.38839285714285715,0.5178571428571429,0.46204671570525224,0.46875,0.08035714285714286,0.0,,0.967391304347826,0.5894039735099338,0.7633928571428571,0.7923210090307735
