reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,12,10,2,0,0
STANDARD,4,20,14,4,0
ACCELERATED,0,3,13,8,0
EMERGENCY,0,0,8,14,0
REVIEW,0,0,0,0,0
