reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,19,20,5,1,0
STANDARD,6,25,40,16,0
ACCELERATED,0,3,20,23,0
EMERGENCY,0,0,9,37,0
REVIEW,0,0,0,0,0
