reference,DEFER,STANDARD,ACCELERATED,EMERGENCY,REVIEW
DEFER,21,3,0,0,0
STANDARD,18,11,9,1,3
ACCELERATED,3,1,13,7,0
EMERGENCY,0,0,5,17,0
REVIEW,0,0,0,0,0
